rank,head_label,layer,head,d_t1_t6,abs_spearman,composite,t1_mean,t6_mean
1,L06H00,6,0,1.4107768535614014,0.365929548721565,0.8883532011414832,1.0787986516952515,0.2627682387828827
2,L05H04,5,4,1.352408528327942,0.28929536977673315,0.8208519490523375,0.37767890095710754,0.16671206057071686
3,L04H07,4,7,1.1839476823806763,0.27339047528404953,0.7286690788323629,0.19558680057525635,0.11076752096414566
4,L00H09,0,9,1.0977978706359863,0.32080004525534556,0.7092989579456659,0.8422938585281372,0.4891178011894226
5,L07H06,7,6,1.1678061485290527,0.22387532904219648,0.6958407387856246,0.31456419825553894,0.07441757619380951
