entity,tier,tier_rank,prompt_id,group,welfare_neg_mean,welfare_pos_mean,neutral_mean,salience_index,suffering_bias
ant,T5,5,P01,appearance_state,0.0005791667790617794,0.001002777735266136,,-0.0004236109562043566,0.3661106550862634
ant,T5,5,P02,researcher_observation,0.00018184478722105268,0.0010011165541072842,0.0015406616148538888,-0.0008192717668862315,0.15371996150344577
ant,T5,5,P03,moral_framing,0.001237623121899863,,0.001896727519730727,,
ant,T5,5,P04,care_intervention,0.007299147779121995,,0.0036855831276625395,,
ant,T5,5,P05,emotional_attribution,0.005632740736473352,0.005372008308768272,0.0014266037906054407,0.0002607324277050793,0.5118463548902348
ant,T5,5,P06,policy_framing,0.01415085700379374,,0.0016739619477448286,,
ant,T5,5,P07,consciousness_probe,0.0002739371848292649,,0.0023669120855629444,,
ant,T5,5,P08,neutral_baseline,,,0.0024566451262217014,,
aphid,T5,5,P01,appearance_state,0.0003115931394859217,0.0007193729779828573,,-0.00040777983849693555,0.3022340928405423
aphid,T5,5,P02,researcher_observation,0.000417183802104167,0.001118017926273751,0.00574759254232049,-0.0007008341241695841,0.27174524833973135
aphid,T5,5,P03,moral_framing,0.000218046763620805,,0.0040314243524335325,,
aphid,T5,5,P04,care_intervention,0.008678719634190202,,0.01616327278316021,,
aphid,T5,5,P05,emotional_attribution,0.002102769387420267,0.0033601338509470224,0.0035160929255653173,-0.0012573644635267556,0.3849179194974968
aphid,T5,5,P06,policy_framing,0.0050859875870325295,,0.02614967597037321,,
aphid,T5,5,P07,consciousness_probe,0.00019145333499182016,,0.0036480570173201463,,
aphid,T5,5,P08,neutral_baseline,,,0.00275410424801521,,
bacterium,T6,6,P01,appearance_state,5.5933859357537585e-05,0.000510981115667164,,-0.0004550472563096264,0.0986635597141255
bacterium,T6,6,P02,researcher_observation,8.011385110269961e-06,0.0003240189771531732,0.0002314832563570235,-0.00031600759204290324,0.024128464164572597
bacterium,T6,6,P03,moral_framing,8.349500785698183e-05,,0.007174113920579354,,
bacterium,T6,6,P04,care_intervention,0.005276253214105964,,0.008118750993162394,,
bacterium,T6,6,P05,emotional_attribution,0.0007671655597126422,0.0009387340396642685,0.0028188393625896424,-0.00017156847995162627,0.4497131689470686
bacterium,T6,6,P06,policy_framing,0.008209093203428589,,0.005731023456064577,,
bacterium,T6,6,P07,consciousness_probe,6.011568439134862e-05,,0.004242522971859823,,
bacterium,T6,6,P08,neutral_baseline,,,0.002280016615986824,,
bee,T4,4,P01,appearance_state,0.0005543878578464501,0.0007113381107046735,,-0.0001569502528582234,0.4379998734489665
bee,T4,4,P02,researcher_observation,0.00011290088908329683,0.001055332410032861,0.0008218105358537287,-0.0009424315209495641,0.09664240824540155
bee,T4,4,P03,moral_framing,0.0003247077402193099,,0.012273376807570457,,
bee,T4,4,P04,care_intervention,0.025932700373232365,,0.007803842658177018,,
bee,T4,4,P05,emotional_attribution,0.0012657336677269389,0.0010791472159326077,0.005225951550528407,0.0001865864517943312,0.5397858895812987
bee,T4,4,P06,policy_framing,0.008950293976037452,,0.022609931969782338,,
bee,T4,4,P07,consciousness_probe,0.00030135248380247504,,0.004566898588867237,,
bee,T4,4,P08,neutral_baseline,,,0.002856028129463084,,
beetle,T5,5,P01,appearance_state,0.0006577350177394692,0.0006190755066199927,,3.865951111947652e-05,0.5151390544462577
beetle,T5,5,P02,researcher_observation,0.0001987937954860778,0.0002484457272657892,0.0068295239470899105,-4.965193177971136e-05,0.44449057143662474
beetle,T5,5,P03,moral_framing,0.0006390528190725794,,0.005364531263088186,,
beetle,T5,5,P04,care_intervention,0.007379636634141207,,0.01041077496483922,,
beetle,T5,5,P05,emotional_attribution,0.0015621853817719966,0.0023057316429913044,0.004039230465423316,-0.0007435462612193078,0.4038828473781209
beetle,T5,5,P06,policy_framing,0.007941720565819802,,0.014778486227442045,,
beetle,T5,5,P07,consciousness_probe,0.000252212630584836,,0.0026934168417938054,,
beetle,T5,5,P08,neutral_baseline,,,0.001859488607442472,,
bumblebee,T4,4,P01,appearance_state,0.0005830506415804848,0.0010514464593143202,,-0.00046839581773383543,0.3567155950229183
bumblebee,T4,4,P02,researcher_observation,0.00013241515292368908,0.0007782338489050744,0.002565173665061593,-0.0006458186959813853,0.1454074381205376
bumblebee,T4,4,P03,moral_framing,0.0004471102826452504,,0.002786077558994293,,
bumblebee,T4,4,P04,care_intervention,0.012425234308466315,,0.009946738369762897,,
bumblebee,T4,4,P05,emotional_attribution,0.0023075165857638544,0.0021801372058689594,0.004029750940389931,0.000127379379894895,0.5141921907271406
bumblebee,T4,4,P06,policy_framing,0.008259978465503082,,0.030658375624625478,,
bumblebee,T4,4,P07,consciousness_probe,0.00023683260224061087,,0.005821779738956441,,
bumblebee,T4,4,P08,neutral_baseline,,,0.002368035586550832,,
chicken,T3,3,P01,appearance_state,0.0003061275201616809,0.004487350541239721,,-0.00418122302107804,0.06386333886460906
chicken,T3,3,P02,researcher_observation,6.67092881485587e-05,0.0034807700030796696,0.0005466675211209804,-0.003414060714931111,0.01880470068790512
chicken,T3,3,P03,moral_framing,0.00090757434857854,,0.006826212319235007,,
chicken,T3,3,P04,care_intervention,0.01301031606271863,,0.004164841491729021,,
chicken,T3,3,P05,emotional_attribution,0.0018348651841127623,0.001611475832760334,0.006961272098124027,0.00022338935135242832,0.53240962571272
chicken,T3,3,P06,policy_framing,0.004842035996261984,,0.01757618860574439,,
chicken,T3,3,P07,consciousness_probe,0.0001403041933372151,,0.007034545065835118,,
chicken,T3,3,P08,neutral_baseline,,,0.0045746935065835714,,
child,T1,1,P01,appearance_state,0.00603772398608271,0.00435283815022558,,0.0016848858358571306,0.5810776980849769
child,T1,1,P02,researcher_observation,0.0009463813864082719,0.0044588227465283126,0.005630656145513058,-0.003512441360120041,0.17508707268478435
child,T1,1,P03,moral_framing,0.005409699399024248,,0.008275389360884825,,
child,T1,1,P04,care_intervention,0.03457355406135321,,0.0038475815672427416,,
